,QA,ANS,TAG
241,what films can be described by [julia roberts],Ocean's Eleven|Ocean's Twelve|Pretty Woman|Notting Hill|Hook|Closer|Erin Brockovich|My Best Friend's Wedding|Charlie Wilson's War|The Mexican|Conspiracy Theory|Confessions of a Dangerous Mind|Runaway Bride|Mirror Mirror|Flatliners|Mona Lisa Smile|Eat Pray Love|The Pelican Brief|America's Sweethearts|Stepmom|Duplicity|Mystic Pizza|Dying Young|Fireflies in the Garden,has_tags_inv
242,what movies can be described with [toy store],Mr. Magorium's Wonder Emporium,has_tags_inv
243,which films can be described by [william fichtner],The Lone Ranger|Phantom,has_tags_inv
244,which films can be described by [indiana jones],Raiders of the Lost Ark|Indiana Jones and the Last Crusade|Indiana Jones and the Kingdom of the Crystal Skull|Indiana Jones and the Temple of Doom,has_tags_inv
245,which movies are about [yasuhiro yoshiura],Patema Inverted|Time of Eve|Pale Cocoon,has_tags_inv
246,what films are about [hiroyuki sanada],The Last Samurai|Sunshine|47 Ronin|Ring,has_tags_inv
247,what films are about [dramatic],Pearl Harbor|Cassandra's Dream,has_tags_inv
248,what movies can be described with [monastery],Of Gods and Men,has_tags_inv
249,which films are about [fredric march],The Best Years of Our Lives|Dr. Jekyll and Mr. Hyde|A Star Is Born|I Married a Witch|Design for Living,has_tags_inv
250,what movies are about [heather graham],The Hangover|Swingers|Drugstore Cowboy|Killing Me Softly|License to Drive|Gray Matters|Two Girls and a Guy,has_tags_inv
251,which films can be described by [mozart],Mozart's Sister,has_tags_inv
252,what movies can be described by [spy],The Bourne Ultimatum|The Bourne Identity|The Bourne Supremacy|Salt|Body of Lies|Tomorrow Never Dies|Tinker Tailor Soldier Spy|This Means War|Spy Game|Dr. No|Cars 2|The Spy Who Loved Me|Notorious|For Your Eyes Only|The 39 Steps|Spy Hard|The Fourth Protocol|Triple Cross,has_tags_inv
253,which movies can be described by [demi moore],A Few Good Men|Ghost|Mr. Brooks|G.I. Jane|Indecent Proposal|Disclosure|Striptease|The Joneses|Now and Then|Flawless|We're No Angels|Half Light|One Crazy Summer,has_tags_inv
254,which movies are about [dirk bogarde],Death in Venice|The Servant,has_tags_inv
255,which movies are about [adam sandler],50 First Dates|Click|Grown Ups|Anger Management|Just Go with It|Big Daddy|You Don't Mess with the Zohan|Happy Gilmore|Hotel Transylvania|The Longest Yard|The Waterboy|The Wedding Singer|Mr. Deeds|Punch-Drunk Love|Funny People|Billy Madison|Grown Ups 2|Reign Over Me|Little Nicky|Bedtime Stories|Blended|Spanglish|Jack and Jill|Bulletproof|Eight Crazy Nights,has_tags_inv
256,which movies can be described by [brian levant],Jingle All the Way|The Flintstones|Beethoven|Snow Dogs,has_tags_inv
257,which films can be described by [william faulkner],"The Big Sleep|The Long, Hot Summer|As I Lay Dying|Land of the Pharaohs|The Reivers|Intruder in the Dust|The Story of Temple Drake",has_tags_inv
258,what movies can be described by [national lampoon],Animal House|National Lampoon's Vacation|Loaded Weapon 1|National Lampoon Presents Dorm Daze|National Lampoon's Senior Trip|Going the Distance|National Lampoon's Gold Diggers,has_tags_inv
259,what movies can be described by [rose mcgowan],Scream|Planet Terror,has_tags_inv
260,what movies can be described with [william shatner],Over the Hedge|Free Enterprise|The Captains|Incubus,has_tags_inv
261,what movies are about [seal],Captain Phillips|Tears of the Sun,has_tags_inv
262,what movies can be described by [goofy],A Goofy Movie,has_tags_inv
263,what movies are about [technology],Avatar|Iron Man|Prometheus|Minority Report|Flash of Genius|Sleep Dealer,has_tags_inv
264,what films are about [w.s. van dyke],The Thin Man|I Love You Again|White Shadows in the South Seas,has_tags_inv
265,what movies are about [weather forecaster],L.A. Story,has_tags_inv
266,which films are about [dj],It's All Gone Pete Tong,has_tags_inv
267,what films are about [antonio banderas],Shrek 2|Desperado|The Mask of Zorro|Once Upon a Time in Mexico|Puss in Boots|The 13th Warrior|The Expendables 3|The Skin I Live In|Spy Kids|The Legend of Zorro|Assassins|Original Sin|You Will Meet a Tall Dark Stranger|Evita|Femme Fatale|Thick as Thieves|Take the Lead|Tie Me Up! Tie Me Down!|The House of the Spirits|Bordertown|Matador,has_tags_inv
268,what films can be described by [central america],The Mosquito Coast,has_tags_inv
269,which films are about [william powell],The Thin Man|My Man Godfrey|After the Thin Man|Another Thin Man|One Way Passage|I Love You Again|Love Crazy|Double Wedding,has_tags_inv
270,which movies are about [miklós jancsó],The Red and the White|The Round-Up|Red Psalm,has_tags_inv
271,what films are about [elsa lanchester],The Big Clock,has_tags_inv
272,which movies are about [gregg araki],Mysterious Skin|Smiley Face|Nowhere,has_tags_inv
273,what films are about [giallo],Deep Red|The Bird with the Crystal Plumage|Opera|The New York Ripper|The Cat o' Nine Tails|Trauma|Don't Torture a Duckling|Blood and Black Lace,has_tags_inv
274,what movies can be described with [oscar wilde],The Importance of Being Earnest|An Ideal Husband|Wilde|The Canterville Ghost|Dorian Gray,has_tags_inv
275,what films can be described by [detective],L.A. Confidential|Saw|Insomnia|The Bone Collector|Brick|In the Heat of the Night|The Great Mouse Detective|Sea of Love|The Thin Man|No Way to Treat a Lady,has_tags_inv
276,what movies can be described with [simulated reality],The Matrix|The Truman Show,has_tags_inv
277,what movies can be described by [jackie earle haley],Watchmen|Little Children|A Nightmare on Elm Street|Breaking Away,has_tags_inv
278,what movies are about [michael mcgowan],One Week|Saint Ralph|Still Mine,has_tags_inv
279,which movies can be described by [art school],Art School Confidential,has_tags_inv
280,which movies can be described by [gael garcía bernal],Y Tu Mamá También|The Motorcycle Diaries|The Science of Sleep,has_tags_inv
281,what movies can be described by [na],The Untouchables|Empire of the Sun|The Legend of 1900|Chungking Express|This Boy's Life|Thumbsucker|Knockin' on Heaven's Door|Lean on Me|Bat*21|Saint Ralph|Robinson Crusoe,has_tags_inv
282,what movies can be described with [jesus christ],The Passion of the Christ|The Last Temptation of Christ|Jesus Christ Superstar|The Gospel According to St. Matthew|The Greatest Story Ever Told|King of Kings,has_tags_inv
283,what movies can be described by [tour de france],The Triplets of Belleville,has_tags_inv
284,which films are about [totoro],My Neighbor Totoro,has_tags_inv
285,which movies can be described by [ark of the covenant],Raiders of the Lost Ark,has_tags_inv
286,what movies can be described by [sam raimi],Spider-Man|Spider-Man 2|Spider-Man 3|Oz the Great and Powerful|Drag Me to Hell|The Evil Dead|Army of Darkness|Evil Dead II|The Quick and the Dead|The Gift|A Simple Plan|Darkman|For Love of the Game|Crimewave,has_tags_inv
287,which movies can be described by [cannibals],The Texas Chain Saw Massacre|Eaten Alive!,has_tags_inv
288,what movies can be described with [spaceship],Alien,has_tags_inv
289,what movies can be described by [graham greene],The Third Man|Maverick|The Quiet American|The End of the Affair|Thunderheart,has_tags_inv
290,which films can be described by [competition],Foxcatcher|The Crash Reel,has_tags_inv
291,which films can be described by [francis ford coppola],The Godfather|Apocalypse Now|The Conversation|The Outsiders|Jack|The Rainmaker|Peggy Sue Got Married|Rumble Fish|Supernova|New York Stories|The Cotton Club|Youth Without Youth|Dementia 13|Gardens of Stone|One from the Heart|Captain EO|Finian's Rainbow|You're a Big Boy Now,has_tags_inv
292,which movies are about [lisa cholodenko],The Kids Are All Right|Laurel Canyon|High Art,has_tags_inv
293,what movies can be described with [jamie kennedy],Son of the Mask|Malibu's Most Wanted,has_tags_inv
294,what films are about [g.w. bailey],Police Academy,has_tags_inv
295,which films are about [meryl streep],The Devil Wears Prada|The Deer Hunter|Mamma Mia!|Fantastic Mr. Fox|Manhattan|The Hours|Doubt|The Iron Lady|Into the Woods|It's Complicated|The Giver|The Bridges of Madison County|Out of Africa|Prime|The River Wild|Sophie's Choice|A Prairie Home Companion|Marvin's Room|The House of the Spirits|Defending Your Life|Postcards from the Edge|Music of the Heart|One True Thing|The French Lieutenant's Woman|To the Arctic 3D,has_tags_inv
296,which movies are about [patrick swayze],Donnie Darko|Ghost|Dirty Dancing|Point Break|The Outsiders|Red Dawn|Keeping Mum|Powder Blue,has_tags_inv
297,which movies are about [tom skerritt],Top Gun|The Other Sister,has_tags_inv
298,which films can be described by [carol kane],License to Drive|Flashback|Hester Street,has_tags_inv
299,which movies are about [house],The Orphanage|Monster House|House of Sand and Fog|8 Women,has_tags_inv
300,what movies can be described with [green lantern],Green Lantern,has_tags_inv
301,what movies are about [existential],Waking Life,has_tags_inv
302,what films can be described by [king vidor],The Fountainhead|Stella Dallas|The Champ|The Patsy|Beyond the Forest|The Citadel|Street Scene|Our Daily Bread|Wild Oranges,has_tags_inv
303,which movies are about [ben kingsley],Schindler's List|Iron Man 3|Lucky Number Slevin|Hugo|Gandhi|Species|House of Sand and Fog|Sneakers|Transsiberian|Sexy Beast|The Wackness|Searching for Bobby Fischer|Stonehearst Asylum|Elegy|The Assignment|Without a Clue,has_tags_inv
304,what movies can be described with [debra messing],Open Season|The Wedding Date,has_tags_inv
305,what movies can be described with [metal],Heavy Metal in Baghdad,has_tags_inv
306,what movies can be described with [kate winslet],Titanic|Eternal Sunshine of the Spotless Mind|The Reader|Contagion|The Holiday|Revolutionary Road|Little Children|Carnage|The Life of David Gale|Flushed Away|Sense and Sensibility|Heavenly Creatures|Quills|Labor Day|All the King's Men|Enigma|Iris,has_tags_inv
307,what movies can be described by [kenneth branagh],Thor|Valkyrie|Wild Wild West|My Week with Marilyn|The Road to El Dorado|Much Ado About Nothing|Hamlet|Henry V|Dead Again|Conspiracy|Love's Labour's Lost|Anne Frank Remembered,has_tags_inv
308,which movies can be described by [moustapha akkad],Lion of the Desert,has_tags_inv
309,which films can be described by [ruben fleischer],Zombieland|Gangster Squad|30 Minutes or Less,has_tags_inv
310,what films can be described by [iko uwais],The Raid 2,has_tags_inv
311,what movies can be described by [emily watson],Equilibrium|Red Dragon|Breaking the Waves|Cold Souls|The Luzhin Defence,has_tags_inv
312,what films can be described by [martin campbell],Casino Royale|Green Lantern|The Mask of Zorro,has_tags_inv
313,what movies are about [richard ayoade],Submarine|The Double,has_tags_inv
314,what movies can be described by [mikko niskanen],The Boys,has_tags_inv
315,which films are about [octavia spencer],The Help,has_tags_inv
316,which films can be described by [jacques demy],The Umbrellas of Cherbourg|The Young Girls of Rochefort|Lola|Donkey Skin|Bay of Angels|Une chambre en ville,has_tags_inv
317,what films are about [disco],Saturday Night Fever,has_tags_inv
318,what movies can be described by [tamra davis],Billy Madison|CB4,has_tags_inv
319,what movies can be described by [richard crenna],First Blood|Body Heat,has_tags_inv
320,which movies are about [bank],Dog Day Afternoon|Margin Call|Firewall,has_tags_inv
321,what movies are about [alcatraz],The Rock|Escape from Alcatraz,has_tags_inv
322,what movies can be described with [michel deville],Dossier 51,has_tags_inv
323,what films can be described by [fran drescher],UHF|The Beautician and the Beast|The Hollywood Knights,has_tags_inv
324,what films are about [miranda july],Me and You and Everyone We Know,has_tags_inv
325,which movies are about [gong li],Miami Vice|Raise the Red Lantern|Farewell My Concubine,has_tags_inv
326,what films are about [asif kapadia],Senna|The Warrior,has_tags_inv
327,which films are about [puerto rico],The Rum Diary,has_tags_inv
328,which films are about [don knotts],Pleasantville|The Ghost and Mr. Chicken|The Shakiest Gun in the West|The Reluctant Astronaut,has_tags_inv
329,which movies can be described by [joão césar monteiro],Recollections of the Yellow House,has_tags_inv
330,what films can be described by [israel],Munich|The Debt|Waltz with Bashir|The Band's Visit|The Body|The Bubble|Footnote|The Syrian Bride|Promises|Broken Wings|Ushpizin|The Secrets|Sweet Mud,has_tags_inv
331,which films are about [forgettable],Unforgettable,has_tags_inv
332,which movies are about [thermopylae],300,has_tags_inv
333,what movies can be described by [julien temple],The Secret Policeman's Other Ball,has_tags_inv
334,what movies can be described by [hong kong],Rush Hour|Contagion|Kung Fu Hustle|Infernal Affairs|Enter the Dragon|In the Mood for Love|Ip Man 2|Hard Boiled|The Killer|Chungking Express|Rumble in the Bronx|The Medallion|Police Story|Fallen Angels|The Promise|Twin Dragons|Election|Naked Weapon|Dragon Tiger Gate|The God of Cookery|Vengeance|Chinese Box|Wing Chun|Forbidden City Cop|Eye in the Sky|Beyond Hypothermia,has_tags_inv
335,which movies are about [jason eisener],Hobo with a Shotgun|V/H/S/2,has_tags_inv
336,what films are about [andy tennant],Hitch|Fools Rush In,has_tags_inv
337,what movies are about [l.a.],Magnolia|Cellular|In a Lonely Place,has_tags_inv
338,which movies can be described by [kindergarten],The Hunt,has_tags_inv
339,what films are about [lea thompson],Back to the Future|Back to the Future Part II|Back to the Future Part III|Howard the Duck,has_tags_inv
340,which films are about [mouse],The Rescuers|The Great Mouse Detective,has_tags_inv
341,what films are about [andy kaufman],Man on the Moon,has_tags_inv
342,what movies can be described with [jennifer tilly],"Monsters, Inc.|Bound|Seed of Chucky",has_tags_inv
343,what movies can be described with [felix van groeningen],The Broken Circle Breakdown|The Misfortunates,has_tags_inv
344,what movies can be described with [iron man],The Avengers|Iron Man|Iron Man 3|Iron Man 2,has_tags_inv
345,which films can be described by [argentina],The Secret in Their Eyes|The Motorcycle Diaries|Apartment Zero|Lost Embrace|Kamchatka|The Tango Lesson|Family Law,has_tags_inv
346,what movies can be described by [con men],The Sting,has_tags_inv
347,which films are about [robert zemeckis],Forrest Gump|Back to the Future|Cast Away|Back to the Future Part II|Flight|Back to the Future Part III|Contact|Beowulf|Who Framed Roger Rabbit|What Lies Beneath|Death Becomes Her|Romancing the Stone,has_tags_inv
